Type,zOTU_ID,Ant-associated,Other insect-associated,Other animals,Plants-associated,Wood-decay,Fungal-associated,Environmental,Food industry,No identical match
16S,2,1,0,1,0,0,0,0,1,0
16S,8,1,0,0,0,0,0,1,0,0
16S,6,1,0,0,0,0,0,0,0,0
16S,9,1,0,0,0,0,0,0,0,0
16S,4,1,0,0,0,0,0,0,0,0
16S,11,1,1,0,0,0,0,0,0,0
16S,10,0,1,0,0,0,0,0,0,0
16S,13,1,0,0,0,0,0,0,0,0
16S,7,0,0,0,0,0,0,0,0,1
ITS2,5,1,0,0,0,0,0,0,0,0
ITS2,4,0,1,0,0,0,0,0,0,0
ITS2,13,0,1,0,1,0,0,1,0,0
ITS2,17,1,1,0,1,1,0,1,0,0
ITS2,31,0,1,0,1,1,0,1,0,0
ITS2,27,0,1,0,1,0,0,1,0,0
ITS2,1,0,0,0,1,0,0,1,0,0
ITS2,3,0,0,0,1,0,0,1,0,0
ITS2,8,0,0,0,1,1,0,0,0,0
ITS2,14,0,0,0,1,1,0,1,0,0
ITS2,6,0,0,0,1,0,0,1,0,0
ITS2,16,0,0,0,0,0,0,0,0,1
ITS2,12,0,0,0,1,0,1,1,0,0
ITS2,11,0,0,0,0,0,0,0,0,1
ITS2,19,0,0,0,1,0,0,1,0,0
