Grudka,nest,Library_ID
B3.1,B,IGM0001
B3.2,B,IGM0002
B3.3,B,IGM0003
B3.4,B,IGM0004
B3.5,B,IGM0005
B3.6,B,IGM0006
B3.7,B,IGM0007
B3.8,B,IGM0008
B3.9,B,IGM0009
B3.10,B,IGM0010
B3.11,B,IGM0011
B3.12,B,IGM0012
C4.1,C,IGM0013
C4.2,C,IGM0014
C4.3,C,IGM0015
C4.4,C,IGM0016
C4.5,C,IGM0017
C4.6,C,IGM0018
C4.7,C,IGM0019
C4.8,C,IGM0020
C4.9,C,IGM0021
C4.10,C,IGM0022
C4.11,C,IGM0023
C4.12,C,IGM0024
E4.1,E,IGM0025
E4.2,E,IGM0026
E4.4,E,IGM0028
E4.5,E,IGM0029
E4.6,E,IGM0030
E4.7,E,IGM0031
E4.8,E,IGM0032
E4.9,E,IGM0033
E4.10,E,IGM0034
E4.11,E,IGM0035
E4.12,E,IGM0036
F2.1,F,IGM0037
F2.2,F,IGM0038
F2.3,F,IGM0039
F2.4,F,IGM0040
F2.5,F,IGM0041
F2.6,F,IGM0042
F2.7,F,IGM0043
F2.8,F,IGM0044
F2.9,F,IGM0045
F2.10,F,IGM0046
F2.11,F,IGM0047
F2.12,F,IGM0048
H1.1,H,IGM0049
H1.2,H,IGM0050
H1.3,H,IGM0051
H1.4,H,IGM0052
H1.5,H,IGM0053
H1.6,H,IGM0054
H1.7,H,IGM0055
H1.8,H,IGM0056
H1.9,H,IGM0057
H1.10,H,IGM0058
H1.11,H,IGM0059
H1.12,H,IGM0060
