Grudka,nest,Library_ID
B3.1,B3,IGM0001
B3.2,B3,IGM0002
B3.3,B3,IGM0003
B3.4,B3,IGM0004
B3.5,B3,IGM0005
B3.6,B3,IGM0006
B3.7,B3,IGM0007
B3.8,B3,IGM0008
B3.9,B3,IGM0009
B3.10,B3,IGM0010
B3.11,B3,IGM0011
B3.12,B3,IGM0012
C4.1,C4,IGM0013
C4.2,C4,IGM0014
C4.3,C4,IGM0015
C4.4,C4,IGM0016
C4.5,C4,IGM0017
C4.6,C4,IGM0018
C4.7,C4,IGM0019
C4.8,C4,IGM0020
C4.9,C4,IGM0021
C4.10,C4,IGM0022
C4.11,C4,IGM0023
C4.12,C4,IGM0024
E4.1,E4,IGM0025
E4.2,E4,IGM0026
E4.4,E4,IGM0028
E4.5,E4,IGM0029
E4.6,E4,IGM0030
E4.7,E4,IGM0031
E4.8,E4,IGM0032
E4.9,E4,IGM0033
E4.10,E4,IGM0034
E4.11,E4,IGM0035
E4.12,E4,IGM0036
F2.1,F2,IGM0037
F2.2,F2,IGM0038
F2.3,F2,IGM0039
F2.4,F2,IGM0040
F2.5,F2,IGM0041
F2.6,F2,IGM0042
F2.7,F2,IGM0043
F2.8,F2,IGM0044
F2.9,F2,IGM0045
F2.10,F2,IGM0046
F2.11,F2,IGM0047
F2.12,F2,IGM0048
H1.1,H1,IGM0049
H1.2,H1,IGM0050
H1.3,H1,IGM0051
H1.4,H1,IGM0052
H1.5,H1,IGM0053
H1.6,H1,IGM0054
H1.7,H1,IGM0055
H1.8,H1,IGM0056
H1.9,H1,IGM0057
H1.10,H1,IGM0058
H1.11,H1,IGM0059
H1.12,H1,IGM0060
