nest,Ant_ID,CFU,nb_morph
H,H1.13,7,3
H,H1.14,2,1
H,H1.15,6,4
H,H1.16,8,5
H,H1.17,7,4
H,H1.18,9,6
H,H1.19,1,1
H,H1.20,3,3
H,H1.21,14,7
B,B3.13,261,21
B,B3.14,20,7
B,B3.15,11,6
B,B3.16,7,2
B,B3.17,17,6
B,B3.18,142,7
B,B3.19,10,1
B,B3.20,17,3
B,B3.21,3,2
E,E4.13,17,6
E,E4.14,20,7
E,E4.15,5,3
E,E4.16,41,12
E,E4.17,25,6
E,E4.18,59,11
E,E4.19,12,6
E,E4.20,14,9
E,E4.21,4,3
C,C4.13,29,10
C,C4.14,41,8
C,C4.15,4,3
C,C4.16,46,9
C,C4.17,2,2
C,C4.18,32,7
C,C4.19,20,7
C,C4.20,9,2
C,C4.21,11,3
F,F2.13,279,26
F,F2.14,668,25
F,F2.15,10,3
F,F2.16,36,10
F,F2.17,6,3
F,F2.18,2,2
F,F2.19,69,10
F,F2.20,6,3
F,F2.21,3,3
